Date,Clicks,Impressions,CTR,Position
2026-05-24,1,22,4.55%,15.3
2026-05-25,1,20,5%,16.3
2026-05-26,0,14,0%,15.6
2026-05-27,0,27,0%,31.1
2026-05-28,1,26,3.85%,12.8
2026-05-29,0,15,0%,10.2
2026-05-30,0,15,0%,9.5
2026-05-31,0,14,0%,9.4
2026-06-01,2,18,11.11%,15.2
2026-06-02,1,14,7.14%,10.9
2026-06-03,2,24,8.33%,9.4
2026-06-04,2,29,6.9%,10.8
2026-06-05,0,13,0%,13.3
2026-06-06,0,66,0%,21
2026-06-07,0,8,0%,16.1
2026-06-08,3,36,8.33%,12.3
2026-06-09,3,47,6.38%,4.9
2026-06-10,0,11,0%,18.9
2026-06-11,0,24,0%,10.6
2026-06-12,3,24,12.5%,14.7
2026-06-13,1,11,9.09%,27.6
2026-06-14,2,27,7.41%,26
2026-06-15,2,58,3.45%,44.8
2026-06-16,3,33,9.09%,17.5
2026-06-17,0,54,0%,25.9
2026-06-18,2,21,9.52%,25.2
2026-06-19,0,10,0%,40.3
2026-06-20,0,24,0%,19.5
2026-06-21,0,23,0%,20.8
2026-06-22,0,27,0%,22.5
2026-06-23,0,22,0%,19.6
2026-06-24,1,26,3.85%,24.2
2026-06-25,0,42,0%,32.5
2026-06-26,1,29,3.45%,19.1
2026-06-27,0,19,0%,27.3
2026-06-28,0,19,0%,22.9
2026-06-29,2,31,6.45%,15.8
2026-06-30,3,46,6.52%,14.8
2026-07-01,0,42,0%,14.3
2026-07-02,2,73,2.74%,21.7
2026-07-03,0,42,0%,17.7
2026-07-04,0,23,0%,20.9
2026-07-05,0,42,0%,10.9
2026-07-06,6,66,9.09%,18.2
2026-07-07,1,56,1.79%,12.3
2026-07-08,2,48,4.17%,16.7
2026-07-09,1,50,2%,14
2026-07-10,5,51,9.8%,13.8
2026-07-11,2,34,5.88%,18.4
2026-07-12,0,51,0%,19.5
2026-07-13,0,43,0%,22
2026-07-14,0,35,0%,10.7
2026-07-15,0,25,0%,22.3
2026-07-16,1,48,2.08%,18.1
2026-07-17,0,32,0%,15.3
2026-07-18,0,15,0%,20.9
2026-07-19,0,19,0%,10.7
2026-07-20,1,26,3.85%,17.8
2026-07-21,3,51,5.88%,13.5
2026-07-22,2,50,4%,21.3
2026-07-23,0,37,0%,14.6
2026-07-24,0,16,0%,24.4
2026-07-25,0,16,0%,22.9
2026-07-26,2,38,5.26%,14.6
2026-07-27,0,50,0%,26.9
2026-07-28,0,44,0%,20.1
2026-07-29,1,40,2.5%,27.6
2026-07-30,0,56,0%,18.5
2026-07-31,0,23,0%,22.8
2026-08-01,0,35,0%,28.1
2026-08-02,1,34,2.94%,27.5
2026-08-03,0,50,0%,19.4
2026-08-04,2,39,5.13%,16
2026-08-05,2,26,7.69%,24.2
2026-08-06,3,73,4.11%,17.1
2026-08-07,4,46,8.7%,20
2026-08-08,3,37,8.11%,17.7
2026-08-09,0,106,0%,40.2
2026-08-10,2,89,2.25%,30.2
2026-08-11,0,124,0%,30.5
2026-08-12,3,160,1.88%,39.4
2026-08-13,1,93,1.08%,37.8
2026-08-14,1,60,1.67%,35.3
2026-08-15,0,87,0%,44.4
2026-08-16,0,78,0%,36
2026-08-17,0,134,0%,37.8
2026-08-18,3,109,2.75%,31.1
2026-08-19,0,142,0%,42.4
2026-08-20,1,79,1.27%,31.6
2026-08-21,2,84,2.38%,34.5
2026-08-22,0,72,0%,39.1
2026-08-23,1,79,1.27%,39.6
