Country,Clicks,Impressions,CTR,Position
Singapore,66,2194,3.01%,24.7
Vietnam,11,90,12.22%,30.58
Malaysia,5,110,4.55%,22.34
India,4,75,5.33%,37.73
Australia,2,18,11.11%,14.06
United States,1,861,0.12%,23.12
Thailand,1,78,1.28%,27.19
Switzerland,1,42,2.38%,42.45
Portugal,1,12,8.33%,4.5
Pakistan,1,12,8.33%,23.08
Fiji,1,1,100%,1
United Kingdom,0,99,0%,21.33
Indonesia,0,61,0%,35.95
Germany,0,54,0%,32.74
Philippines,0,45,0%,40.93
Hong Kong,0,35,0%,10.97
China,0,25,0%,41.44
Ireland,0,22,0%,65.64
Japan,0,20,0%,55.65
France,0,19,0%,49
Canada,0,16,0%,7.81
Turkey,0,14,0%,41.14
Taiwan,0,11,0%,8.64
Bangladesh,0,11,0%,36.82
Russia,0,11,0%,49.27
Brazil,0,10,0%,14.7
Argentina,0,8,0%,5.5
United Arab Emirates,0,8,0%,13.75
Mexico,0,8,0%,54.88
Netherlands,0,7,0%,12.43
Italy,0,7,0%,16.29
Saudi Arabia,0,7,0%,20
Ukraine,0,7,0%,25.29
South Korea,0,5,0%,3.8
Spain,0,5,0%,51
Algeria,0,5,0%,51.8
Morocco,0,5,0%,56.6
Jordan,0,4,0%,58
Uganda,0,3,0%,3.33
Belgium,0,3,0%,4.67
Sweden,0,3,0%,6.33
Poland,0,2,0%,1
Norway,0,2,0%,2.5
Kenya,0,2,0%,3
Bulgaria,0,2,0%,7.5
Myanmar (Burma),0,2,0%,9.5
Ecuador,0,2,0%,14.5
Nigeria,0,2,0%,25
South Africa,0,2,0%,39.5
Chile,0,2,0%,57
Iran,0,2,0%,58.5
Hungary,0,1,0%,1
Sri Lanka,0,1,0%,1
Tunisia,0,1,0%,1
Denmark,0,1,0%,2
Peru,0,1,0%,2
Uzbekistan,0,1,0%,7
Seychelles,0,1,0%,8
Kazakhstan,0,1,0%,9
Mauritius,0,1,0%,9
Palestine,0,1,0%,10
Venezuela,0,1,0%,23
Israel,0,1,0%,24
Kuwait,0,1,0%,25
Iraq,0,1,0%,36
Panama,0,1,0%,38
Colombia,0,1,0%,40
