Top pages,Clicks,Impressions,CTR,Position
https://www.ftsynergist.com/,50,615,8.13%,8.16
https://www.ftsynergist.com/edg-grant,23,644,3.57%,10.31
https://www.ftsynergist.com/insights,3,460,0.65%,51.02
https://www.ftsynergist.com/about,3,348,0.86%,15.86
https://www.ftsynergist.com/ip-consultant,3,326,0.92%,13.45
https://www.ftsynergist.com/privacy-policy,3,98,3.06%,13.48
https://www.ftsynergist.com/sustainability,2,404,0.5%,45.42
https://www.ftsynergist.com/franchise-consultant,2,265,0.75%,12.07
https://www.ftsynergist.com/insights/wang-lao-ji-global-expansion-strategy,2,179,1.12%,11.61
https://www.ftsynergist.com/ai-digitalisation,1,548,0.18%,38.7
https://www.ftsynergist.com/mra-grant,1,383,0.26%,15.78
https://www.ftsynergist.com/strategic-brand-marketing-development,1,280,0.36%,28.41
https://www.ftsynergist.com/contact,1,156,0.64%,4.05
https://www.ftsynergist.com/events,1,114,0.88%,8.13
https://www.ftsynergist.com/edge-grant,1,84,1.19%,11.99
https://www.ftsynergist.com/partnership,1,49,2.04%,8.14
https://www.ftsynergist.com/insights/vietnam-expansion-blueprint,0,11,0%,22.45
https://www.ftsynergist.com/insights/state-of-ai-2026,0,4,0%,1.25
http://www.ftsynergist.com/,0,1,0%,1
