Country,Clicks,Impressions,CTR,Position
Singapore,14,352,3.98%,33.38
United States,0,109,0%,30.06
United Kingdom,0,56,0%,34.59
Ireland,0,30,0%,69.73
India,0,26,0%,53
Philippines,0,26,0%,63.58
Malaysia,0,19,0%,55.63
Indonesia,0,14,0%,68.14
Hong Kong,0,11,0%,12.82
Vietnam,0,11,0%,64.82
Thailand,0,5,0%,59
Japan,0,5,0%,83.8
Spain,0,3,0%,21
China,0,3,0%,52
Mexico,0,3,0%,53.33
Switzerland,0,3,0%,62.33
Algeria,0,3,0%,66
Morocco,0,3,0%,71.67
Bangladesh,0,3,0%,74.67
Netherlands,0,2,0%,3
Taiwan,0,2,0%,9.5
Turkey,0,2,0%,80
Argentina,0,1,0%,1
United Arab Emirates,0,1,0%,4
Australia,0,1,0%,6
France,0,1,0%,7
Myanmar (Burma),0,1,0%,7
Cambodia,0,1,0%,8
Israel,0,1,0%,11
Oman,0,1,0%,12
Dominican Republic,0,1,0%,17
Saudi Arabia,0,1,0%,51
Kazakhstan,0,1,0%,100
